status_id,status_type,status_published,num_reactions,num_comments,num_shares,num_likes,num_loves,num_wows,num_hahas,num_sads,num_angrys,Column1,Column2,Column3,Column4,engagement_score,engagement_level,hour,dayofweek
1,video,2018-04-22 06:00:00,529,512,262,432,92,3,1,1,0,,,,,2339,high,6,6
2,photo,2018-04-21 22:45:00,150,0,0,150,0,0,0,0,0,,,,,150,medium,22,5
3,video,2018-04-21 06:17:00,227,236,57,204,21,1,1,0,0,,,,,870,high,6,5
4,photo,2018-04-21 02:29:00,111,0,0,111,0,0,0,0,0,,,,,111,medium,2,5
5,photo,2018-04-18 03:22:00,213,0,0,204,9,0,0,0,0,,,,,213,medium,3,2
6,photo,2018-04-18 02:14:00,217,6,0,211,5,1,0,0,0,,,,,229,medium,2,2
7,video,2018-04-18 00:24:00,503,614,72,418,70,10,2,0,3,,,,,1947,high,0,2
8,video,2018-04-17 07:42:00,295,453,53,260,32,1,1,0,1,,,,,1360,high,7,1
9,photo,2018-04-17 03:33:00,203,1,0,198,5,0,0,0,0,,,,,205,medium,3,1
10,photo,2018-04-11 04:53:00,170,9,1,167,3,0,0,0,0,,,,,191,medium,4,2
11,photo,2018-04-10 01:01:00,210,2,3,202,7,1,0,0,0,,,,,223,medium,1,1
12,photo,2018-04-09 02:06:00,222,4,0,213,5,4,0,0,0,,,,,230,medium,2,0
13,photo,2018-04-08 05:10:00,313,4,2,305,6,2,0,0,0,,,,,327,high,5,6
14,photo,2018-04-08 02:23:00,209,4,0,200,8,1,0,0,0,,,,,217,medium,2,6
15,photo,2018-04-05 09:23:00,346,11,0,335,10,1,0,0,0,,,,,368,high,9,3
16,video,2018-04-01 05:16:00,332,100,30,303,23,1,5,0,0,,,,,622,high,5,6
17,video,2018-03-30 08:28:00,135,256,79,117,18,0,0,0,0,,,,,884,high,8,4
18,video,2018-03-26 08:28:00,150,173,47,132,16,1,0,1,0,,,,,637,high,8,0
19,video,2018-03-23 07:09:00,221,166,36,192,28,0,1,0,0,,,,,661,high,7,4
20,photo,2018-03-22 01:25:00,152,2,0,149,3,0,0,0,0,,,,,156,medium,1,3
21,photo,2018-03-21 08:40:00,234,15,1,221,12,1,0,0,0,,,,,267,high,8,2
22,photo,2018-03-21 07:46:00,227,7,1,217,7,2,1,0,0,,,,,244,medium,7,2
23,photo,2018-03-20 01:54:00,98,0,0,96,0,2,0,0,0,,,,,98,medium,1,1
24,video,2018-03-20 01:28:00,18,0,0,18,0,0,0,0,0,,,,,18,low,1,1
25,photo,2018-03-20 00:15:00,102,0,0,100,0,2,0,0,0,,,,,102,medium,0,1
26,video,2018-03-19 22:34:00,37,0,1,37,0,0,0,0,0,,,,,40,medium,22,0
27,video,2018-03-17 08:07:00,75,36,14,70,5,0,0,0,0,,,,,189,medium,8,5
28,video,2018-03-17 07:47:00,90,78,9,85,5,0,0,0,0,,,,,273,high,7,5
29,photo,2018-03-12 05:51:00,145,9,0,138,7,0,0,0,0,,,,,163,medium,5,0
30,video,2018-03-09 07:45:00,253,300,31,229,22,1,1,0,0,,,,,946,high,7,4
31,photo,2018-03-09 05:55:00,85,0,0,81,2,2,0,0,0,,,,,85,medium,5,4
32,video,2018-03-07 13:10:00,45,14,0,40,5,0,0,0,0,,,,,73,medium,13,2
33,photo,2018-03-07 06:13:00,92,0,0,85,4,2,1,0,0,,,,,92,medium,6,2
34,photo,2018-03-07 04:46:00,125,1,0,116,8,1,0,0,0,,,,,127,medium,4,2
35,photo,2018-03-05 08:32:00,119,4,0,116,3,0,0,0,0,,,,,127,medium,8,0
36,photo,2018-03-05 02:48:00,293,8,0,281,11,1,0,0,0,,,,,309,high,2,0
37,video,2018-03-02 09:55:00,128,137,26,110,16,2,0,0,0,,,,,480,high,9,4
38,photo,2018-02-28 08:19:00,84,15,13,78,5,1,0,0,0,,,,,153,medium,8,2
39,photo,2018-02-28 01:43:00,66,11,6,61,4,1,0,0,0,,,,,106,medium,1,2
40,video,2018-02-26 08:50:00,171,292,28,150,19,1,1,0,0,,,,,839,high,8,0
41,video,2018-02-25 10:13:00,90,72,23,79,10,1,0,0,0,,,,,303,high,10,6
42,video,2018-02-21 00:19:00,139,39,9,121,16,1,1,0,0,,,,,244,medium,0,2
43,video,2018-02-19 00:11:00,236,181,21,201,33,0,1,0,1,,,,,661,high,0,0
44,video,2018-02-18 07:15:00,225,210,34,193,30,0,2,0,0,,,,,747,high,7,6
45,photo,2018-02-17 22:30:00,275,12,0,260,11,4,0,0,0,,,,,299,high,22,5
46,video,2018-02-17 04:15:00,372,456,37,334,31,1,1,1,4,,,,,1395,high,4,5
47,photo,2018-02-15 03:47:00,445,9,0,419,23,3,0,0,0,,,,,463,high,3,3
48,video,2018-02-14 08:23:00,128,60,11,114,13,0,0,0,1,,,,,281,high,8,2
49,video,2018-02-13 01:16:00,186,235,46,163,19,0,3,0,1,,,,,794,high,1,1
50,video,2018-02-12 03:28:00,309,444,36,254,42,2,8,3,0,,,,,1305,high,3,0
51,photo,2018-02-11 05:55:00,77,11,3,75,2,0,0,0,0,,,,,108,medium,5,6
52,video,2018-02-10 07:54:00,119,72,28,103,16,0,0,0,0,,,,,347,high,7,5
53,photo,2018-02-09 01:48:00,100,21,13,95,5,0,0,0,0,,,,,181,medium,1,4
54,video,2018-02-08 09:14:00,240,255,111,193,44,1,1,0,1,,,,,1083,high,9,3
55,video,2018-02-07 08:35:00,164,136,48,146,15,2,0,1,0,,,,,580,high,8,2
56,video,2018-02-06 08:46:00,202,327,42,171,30,1,0,0,0,,,,,982,high,8,1
57,video,2018-02-05 09:20:00,211,284,46,186,25,0,0,0,0,,,,,917,high,9,0
58,video,2018-02-04 03:25:00,148,114,16,136,10,0,2,0,0,,,,,424,high,3,6
59,video,2018-02-03 08:34:00,97,81,16,84,13,0,0,0,0,,,,,307,high,8,5
60,video,2018-02-02 09:24:00,279,292,34,254,20,3,1,1,0,,,,,965,high,9,4
61,photo,2018-02-02 07:08:00,263,8,0,245,14,4,0,0,0,,,,,279,high,7,4
62,video,2018-02-02 06:01:00,177,193,34,151,25,1,0,0,0,,,,,665,high,6,4
63,photo,2018-01-28 07:50:00,517,32,1,484,26,7,0,0,0,,,,,584,high,7,6
64,video,2018-01-28 05:25:00,289,258,33,256,33,0,0,0,0,,,,,904,high,5,6
65,photo,2018-01-26 13:03:00,66,13,0,65,1,0,0,0,0,,,,,92,medium,13,4
66,photo,2018-01-26 13:02:00,112,6,0,104,8,0,0,0,0,,,,,124,medium,13,4
67,video,2018-01-26 08:47:00,206,259,48,181,22,1,2,0,0,,,,,868,high,8,4
68,video,2018-01-25 08:40:00,362,468,86,305,56,0,0,1,0,,,,,1556,high,8,3
69,video,2018-01-23 09:04:00,184,130,51,161,23,0,0,0,0,,,,,597,high,9,1
70,video,2018-01-22 09:37:00,216,251,34,199,16,0,0,0,1,,,,,820,high,9,0
71,video,2018-01-22 09:15:00,57,0,0,56,1,0,0,0,0,,,,,57,medium,9,0
72,video,2018-01-21 09:10:00,272,258,43,226,44,1,1,0,0,,,,,917,high,9,6
73,video,2018-01-20 23:10:00,248,247,34,208,33,3,2,0,2,,,,,844,high,23,5
74,video,2018-01-20 09:08:00,132,89,40,110,20,1,0,0,1,,,,,430,high,9,5
75,video,2018-01-19 09:16:00,226,341,41,196,30,0,0,0,0,,,,,1031,high,9,4
76,video,2018-01-19 09:06:00,35,1,0,35,0,0,0,0,0,,,,,37,medium,9,4
77,video,2018-01-18 08:54:00,219,316,36,170,46,3,0,0,0,,,,,959,high,8,3
78,video,2018-01-18 05:08:00,94,1,1,94,0,0,0,0,0,,,,,99,medium,5,3
79,video,2018-01-17 09:29:00,259,368,50,234,25,0,0,0,0,,,,,1145,high,9,2
80,video,2018-01-16 22:36:00,62,1,0,62,0,0,0,0,0,,,,,64,medium,22,1
81,video,2018-01-16 22:13:00,127,76,21,114,13,0,0,0,0,,,,,342,high,22,1
82,video,2018-01-16 00:53:00,149,63,15,134,15,0,0,0,0,,,,,320,high,0,1
83,video,2018-01-13 09:18:00,134,171,41,116,18,0,0,0,0,,,,,599,high,9,5
84,video,2018-01-11 09:05:00,392,461,47,360,32,0,0,0,0,,,,,1455,high,9,3
85,video,2018-01-10 08:57:00,310,540,41,284,26,0,0,0,0,,,,,1513,high,8,2
86,photo,2018-01-02 23:05:00,14,3,0,12,2,0,0,0,0,,,,,20,low,23,1
87,photo,2017-12-26 06:23:00,293,6,1,275,15,3,0,0,0,,,,,308,high,6,1
88,photo,2017-12-24 10:28:00,236,12,0,226,8,1,1,0,0,,,,,260,high,10,6
89,photo,2017-12-21 08:14:00,312,10,0,291,18,3,0,0,0,,,,,332,high,8,3
90,photo,2017-12-10 23:28:00,24,12,0,24,0,0,0,0,0,,,,,48,medium,23,6
91,link,2017-12-08 02:37:00,16,9,0,15,1,0,0,0,0,,,,,34,medium,2,4
92,photo,2017-12-07 06:41:00,33,12,0,32,1,0,0,0,0,,,,,57,medium,6,3
93,photo,2017-12-05 01:25:00,675,10,0,645,29,1,0,0,0,,,,,695,high,1,1
94,photo,2017-12-04 08:28:00,737,18,0,697,31,9,0,0,0,,,,,773,high,8,0
95,photo,2017-12-03 01:40:00,572,16,0,554,16,2,0,0,0,,,,,604,high,1,6
96,photo,2017-11-22 22:14:00,23,7,0,20,3,0,0,0,0,,,,,37,medium,22,2
97,photo,2017-11-21 01:37:00,266,25,0,250,11,5,0,0,0,,,,,316,high,1,1
98,video,2017-11-21 00:22:00,378,512,30,348,27,2,0,0,1,,,,,1492,high,0,1
99,video,2017-11-18 22:32:00,421,709,30,373,45,2,0,1,0,,,,,1929,high,22,5
100,video,2017-11-18 01:23:00,1493,1979,753,1333,139,9,3,8,1,,,,,7710,high,1,5
101,photo,2017-11-16 00:01:00,76,17,0,76,0,0,0,0,0,,,,,110,medium,0,3
102,photo,2017-11-09 00:32:00,36,11,0,34,2,0,0,0,0,,,,,58,medium,0,3
103,photo,2017-11-02 21:22:00,19,8,0,18,0,0,1,0,0,,,,,35,medium,21,3
104,photo,2017-10-30 23:46:00,27,10,0,27,0,0,0,0,0,,,,,47,medium,23,0
105,photo,2017-10-26 12:02:00,117,2,53,108,9,0,0,0,0,,,,,280,high,12,3
106,photo,2017-10-26 11:53:00,146,1,0,145,1,0,0,0,0,,,,,148,medium,11,3
107,photo,2017-10-25 22:45:00,166,0,13,151,7,0,0,8,0,,,,,205,medium,22,2
108,photo,2017-10-25 22:29:00,190,0,31,171,0,0,0,19,0,,,,,283,high,22,2
109,photo,2017-10-24 03:55:00,217,16,0,213,4,0,0,0,0,,,,,249,high,3,1
110,photo,2017-10-24 01:20:00,458,14,0,451,3,4,0,0,0,,,,,486,high,1,1
111,photo,2017-10-23 03:52:00,553,15,0,538,12,3,0,0,0,,,,,583,high,3,0
112,photo,2017-10-23 03:23:00,203,18,11,190,7,6,0,0,0,,,,,272,high,3,0
113,photo,2017-10-22 00:38:00,1005,25,1,979,16,9,1,0,0,,,,,1058,high,0,6
114,video,2017-10-21 23:43:00,202,145,23,182,19,0,0,0,1,,,,,561,high,23,5
115,photo,2017-10-21 03:19:00,428,14,0,419,4,5,0,0,0,,,,,456,high,3,5
116,photo,2017-10-20 06:37:00,479,17,0,462,10,7,0,0,0,,,,,513,high,6,4
117,video,2017-10-20 03:19:00,212,116,11,201,10,1,0,0,0,,,,,477,high,3,4
118,video,2017-10-19 02:44:00,225,157,17,211,14,0,0,0,0,,,,,590,high,2,3
119,video,2017-10-18 09:13:00,171,46,5,156,12,2,1,0,0,,,,,278,high,9,2
120,video,2017-10-18 02:33:00,247,120,16,232,14,1,0,0,0,,,,,535,high,2,2
121,video,2017-10-17 05:37:00,269,453,39,242,26,1,0,0,0,,,,,1292,high,5,1
122,video,2017-10-17 02:36:00,258,486,32,235,23,0,0,0,0,,,,,1326,high,2,1
123,photo,2017-10-17 01:47:00,109,2,1,104,5,0,0,0,0,,,,,116,medium,1,1
124,photo,2017-10-16 22:47:00,97,5,0,96,0,1,0,0,0,,,,,107,medium,22,0
125,video,2017-10-16 06:37:00,280,199,25,254,24,2,0,0,0,,,,,753,high,6,0
126,video,2017-10-16 05:25:00,325,77,21,293,30,1,1,0,0,,,,,542,high,5,0
127,photo,2017-10-15 22:58:00,51,11,0,51,0,0,0,0,0,,,,,73,medium,22,6
128,video,2017-10-15 02:27:00,280,825,47,243,35,1,1,0,0,,,,,2071,high,2,6
129,video,2017-10-14 10:37:00,688,0,0,632,34,0,0,22,0,,,,,688,high,10,5
130,video,2017-10-14 03:35:00,365,805,46,320,39,1,3,0,2,,,,,2113,high,3,5
131,photo,2017-10-12 21:43:00,295,5,0,295,0,0,0,0,0,,,,,305,high,21,3
132,photo,2017-10-11 22:21:00,27,14,0,26,1,0,0,0,0,,,,,55,medium,22,2
133,photo,2017-10-06 08:04:00,15,11,0,15,0,0,0,0,0,,,,,37,medium,8,4
134,photo,2017-10-04 23:19:00,16,12,0,16,0,0,0,0,0,,,,,40,medium,23,2
135,photo,2017-10-01 03:31:00,29,12,0,29,0,0,0,0,0,,,,,53,medium,3,6
136,video,2017-10-01 01:05:00,28,6,0,28,0,0,0,0,0,,,,,40,medium,1,6
137,photo,2017-09-28 23:21:00,8,8,0,8,0,0,0,0,0,,,,,24,low,23,3
138,photo,2017-09-28 00:12:00,10,9,0,10,0,0,0,0,0,,,,,28,low,0,3
139,photo,2017-09-26 22:39:00,39,8,0,39,0,0,0,0,0,,,,,55,medium,22,1
140,photo,2017-09-25 22:52:00,49,11,0,47,2,0,0,0,0,,,,,71,medium,22,0
141,video,2017-09-24 01:58:00,226,449,37,189,25,1,1,10,0,,,,,1235,high,1,6
142,video,2017-09-24 01:52:00,104,49,13,91,12,0,0,1,0,,,,,241,medium,1,6
