page_id,window_start,window_end,total_posts_3d,posts_per_day,total_reactions_3d,total_comments_3d,total_shares_3d,engagement_per_post,avg_negative_ratio_3d,positive_reactions_3d,negative_reactions_3d,reaction_trend
facebook_page,2012-07-15,2012-07-17,27,9.0,499,172,7,18.48148148148148,0.0,499,0,-176
facebook_page,2012-07-16,2012-07-18,23,7.666666666666667,475,142,4,20.652173913043477,0.0,475,0,-21
facebook_page,2012-07-17,2012-07-19,18,6.0,403,131,0,22.38888888888889,0.0,403,0,101
facebook_page,2012-07-18,2012-07-20,18,6.0,427,162,0,23.72222222222222,0.0,427,0,-128
facebook_page,2012-07-19,2012-07-21,9,3.0,255,95,0,28.333333333333332,0.0,255,0,-121
facebook_page,2012-07-20,2012-07-22,9,3.0,173,85,0,19.22222222222222,0.0,173,0,-5
facebook_page,2012-07-21,2012-07-23,7,2.3333333333333335,133,61,0,19.0,0.0,133,0,4
facebook_page,2012-07-22,2012-07-24,12,4.0,289,97,2,24.083333333333332,0.0,289,0,117
facebook_page,2012-07-23,2012-07-25,14,4.666666666666667,356,115,3,25.428571428571427,0.0,356,0,102
facebook_page,2012-07-24,2012-07-26,18,6.0,464,136,6,25.77777777777778,0.0,464,0,-44
facebook_page,2012-07-25,2012-07-27,14,4.666666666666667,322,99,5,23.0,0.0,322,0,-92
facebook_page,2012-07-26,2012-07-28,11,3.6666666666666665,246,51,4,22.363636363636363,0.0,246,0,-82
facebook_page,2012-07-27,2012-07-29,9,3.0,146,21,1,16.22222222222222,0.0,146,0,-2
facebook_page,2012-07-28,2012-07-30,7,2.3333333333333335,120,19,0,17.142857142857142,0.0,120,0,-42
facebook_page,2012-07-29,2012-07-31,5,1.6666666666666667,73,8,0,14.6,0.0,73,0,-29
facebook_page,2012-07-30,2012-08-01,5,1.6666666666666667,80,9,0,16.0,0.0,80,0,31
facebook_page,2012-07-31,2012-08-02,5,1.6666666666666667,80,6,0,16.0,0.0,80,0,5
facebook_page,2012-08-01,2012-08-03,5,1.6666666666666667,90,10,0,18.0,0.0,90,0,-26
facebook_page,2012-08-02,2012-08-04,6,2.0,95,33,0,15.833333333333334,0.0,95,0,36
facebook_page,2012-08-03,2012-08-05,12,4.0,194,50,1,16.166666666666668,0.0,194,0,94
facebook_page,2012-08-04,2012-08-06,13,4.333333333333333,218,106,1,16.76923076923077,0.0,218,0,-7
facebook_page,2012-08-05,2012-08-07,11,3.6666666666666665,187,87,2,17.0,0.0,187,0,-94
facebook_page,2012-08-06,2012-08-08,7,2.3333333333333335,134,107,1,19.142857142857142,0.0,134,0,17
facebook_page,2012-08-07,2012-08-09,10,3.3333333333333335,184,86,2,18.4,0.0,184,0,74
facebook_page,2012-08-08,2012-08-10,16,5.333333333333333,332,154,1,20.75,0.0,332,0,107
facebook_page,2012-08-09,2012-08-11,22,7.333333333333333,481,212,3,21.863636363636363,0.0,481,0,116
facebook_page,2012-08-10,2012-08-12,23,7.666666666666667,509,222,2,22.130434782608695,0.0,509,0,-46
facebook_page,2012-08-11,2012-08-13,20,6.666666666666667,430,175,5,21.5,0.0,430,0,-121
facebook_page,2012-08-12,2012-08-14,23,7.666666666666667,427,159,4,18.565217391304348,0.0,427,0,85
facebook_page,2012-08-13,2012-08-15,24,8.0,452,169,4,18.833333333333332,0.0,452,0,58
facebook_page,2012-08-14,2012-08-16,21,7.0,382,164,1,18.19047619047619,0.0,382,0,-188
facebook_page,2012-08-15,2012-08-17,18,6.0,352,194,9,19.555555555555557,0.0,352,0,30
facebook_page,2012-08-16,2012-08-18,21,7.0,396,184,9,18.857142857142858,0.0,396,0,172
facebook_page,2012-08-17,2012-08-19,32,10.666666666666666,642,271,11,20.0625,0.0,642,0,88
facebook_page,2012-08-18,2012-08-20,39,13.0,743,273,7,19.05128205128205,0.0,743,0,87
facebook_page,2012-08-19,2012-08-21,37,12.333333333333334,665,313,8,17.972972972972972,0.0,665,0,-152
facebook_page,2012-08-20,2012-08-22,40,13.333333333333334,788,307,6,19.7,0.0,788,0,110
facebook_page,2012-08-21,2012-08-24,34,11.333333333333334,760,268,1,22.352941176470587,0.0,760,0,137
facebook_page,2012-08-22,2012-08-25,33,11.0,800,233,0,24.242424242424242,0.0,800,0,-235
facebook_page,2012-08-24,2012-08-26,26,8.666666666666666,574,157,1,22.076923076923077,0.0,574,0,-88
facebook_page,2012-08-25,2012-08-27,24,8.0,483,121,1,20.125,0.0,483,0,6
facebook_page,2012-08-26,2012-08-28,18,6.0,365,77,1,20.27777777777778,0.0,365,0,-127
facebook_page,2012-08-27,2012-08-29,13,4.333333333333333,271,52,0,20.846153846153847,0.0,271,0,-91
facebook_page,2012-08-28,2012-08-30,12,4.0,223,63,0,18.583333333333332,0.0,223,0,76
facebook_page,2012-08-29,2012-08-31,15,5.0,263,64,4,17.533333333333335,0.0,263,0,7
facebook_page,2012-08-30,2012-09-01,19,6.333333333333333,354,109,7,18.63157894736842,0.0,354,0,48
facebook_page,2012-08-31,2012-09-02,16,5.333333333333333,304,78,7,19.0,0.0,304,0,-14
facebook_page,2012-09-01,2012-09-03,14,4.666666666666667,257,73,6,18.357142857142858,0.0,257,0,-131
facebook_page,2012-09-02,2012-09-04,10,3.3333333333333335,185,45,3,18.5,0.0,185,0,26
